"Name","Created","Runtime","End Time","Hostname","Notes","GPU Type","Updated","Tags","alpha","c_num","dsf","z_channels","Bits_per_pixel","test_crossH","test_mse","test_softcrossH","test_total","train_crossH","train_mse","train_softcrossH","train_total","zdim"
"divine-frost-173","2021-04-21T14:41:44.000Z","436","2021-04-21T14:49:00.000Z","gpu016.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:49:00.000Z","","0.01","32","4","4","0.3144608137228853","0.8718705493927001","0.008200114428997039","1.0814894775390624","0.8908855587959289","0.8671239614486694","0.00927853398025036","1.0805295705795288","0.8872078061103821","256"
"sandy-brook-174","2021-04-21T14:41:44.000Z","449","2021-04-21T14:49:13.000Z","gpu016.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:49:13.000Z","","0.01","8","4","16","0.7483710903970087","0.5187313074111939","0.0038496479362249377","0.5696124279975892","0.5282770771980285","0.5250584483146667","0.0044893850572407246","0.5731217265129089","0.5352790355682373","1024"
"breezy-hill-169","2021-04-21T14:41:44.000Z","808","2021-04-21T14:55:12.000Z","gpu007.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T14:55:12.000Z","","0.01","32","4","32","1.4980310179540666","0.5191784400939942","0.003135960511490703","0.8201849681854249","0.530516248035431","0.5091110467910767","0.003906969912350178","0.8058258295059204","0.5210762619972229","2048"
"comic-eon-164","2021-04-21T14:41:43.000Z","476","2021-04-21T14:49:39.000Z","gpu015.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:49:39.000Z","","0.008","64","4","16","0.9845725557878884","0.6824538465499878","0.00390984294526279","1.0239052285194397","0.6945549324989319","0.6789635419845581","0.004493619315326214","1.0343923568725586","0.6917322874069214","1024"
"electric-durian-157","2021-04-21T14:41:43.000Z","511","2021-04-21T14:50:14.000Z","gpu014.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:50:14.000Z","","0.008","32","4","32","1.5280633686610594","0.5295861961364746","0.002861816183850169","0.8506263305664062","0.5392530255317688","0.5215779542922974","0.003737092716619373","0.8352202773094177","0.5319967865943909","2048"
"helpful-silence-165","2021-04-21T14:41:43.000Z","499","2021-04-21T14:50:02.000Z","gpu015.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:50:02.000Z","","0.008","128","4","16","2.2027829660118843","1.526852892112732","0.002743071263283491","2.285103798675537","1.5478767946243286","1.5244951248168943","0.002992141293361783","2.2887067794799805","1.5457968711853027","1024"
"fresh-sun-161","2021-04-21T14:41:43.000Z","444","2021-04-21T14:49:07.000Z","gpu014.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:49:07.000Z","","0.008","64","4","4","0.39630835435511264","1.098800071716309","0.007245480549335479","1.4893446405410766","1.1179603115081789","1.08007550239563","0.00760179478675127","1.4764922857284546","1.0994892120361328","256"
"pious-microwave-157","2021-04-21T14:41:43.000Z","463","2021-04-21T14:49:26.000Z","gpu015.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:49:26.000Z","","0.008","128","4","8","0.9662632210008656","1.339525235939026","0.004744220606982708","2.233091349029541","1.362134185028076","1.3490513563156128","0.004766171332448721","2.2485687732696533","1.371806025505066","512"
"woven-deluge-165","2021-04-21T14:41:43.000Z","443","2021-04-21T14:49:06.000Z","gpu015.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:49:06.000Z","","0.008","128","4","4","0.5861475385095145","1.6251460718154906","0.006221508944034577","2.3097840003967285","1.6498458560943603","1.6224550008773804","0.006308207754045725","2.316704273223877","1.6472967863082886","256"
"stellar-frog-157","2021-04-21T14:41:43.000Z","460","2021-04-21T14:49:23.000Z","gpu014.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:49:23.000Z","","0.008","64","4","8","0.5916952206457864","0.8202637460708618","0.00530333036929369","1.0532063451766969","0.8339927291870117","0.8352454304695129","0.0054435404017567635","1.0666828155517578","0.8492224216461182","512"
"eager-sky-160","2021-04-21T14:41:43.000Z","573","2021-04-21T14:51:16.000Z","gpu015.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:51:16.000Z","","0.008","128","4","32","5.520023167610097","1.913094204902649","0.0017102907218039037","2.3753854373931884","1.9338075777053831","1.9034849405288696","0.001794101088307798","2.3534095287323","1.9241063594818115","2048"
"youthful-bee-164","2021-04-21T14:41:43.000Z","528","2021-04-21T14:50:31.000Z","gpu015.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:50:31.000Z","","0.008","64","4","32","2.3342528690653586","0.8089903830528259","0.0028604651879519222","1.383694215965271","0.8229204014778138","0.807870090007782","0.002923917956650257","1.385926604270935","0.8218814134597778","2048"
"hearty-brook-162","2021-04-21T14:41:43.000Z","469","2021-04-21T14:49:32.000Z","gpu014.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:49:32.000Z","","0.008","32","4","16","0.8545004653941144","0.59229460439682","0.004084886854887009","0.8066760292053222","0.6028329006195068","0.5861316323280334","0.004757870454341173","0.8069907426834106","0.5973454117774963","1024"
"different-donkey-165","2021-04-21T14:41:43.000Z","507","2021-04-21T14:50:10.000Z","gpu011.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:50:10.000Z","","0.01","32","4","16","0.7980946304869303","0.5531970590591431","0.004617980286478997","0.7346657871246338","0.5651616954803467","0.5559689998626709","0.005290888715535402","0.7428397536277771","0.5686882734298706","1024"
"serene-music-162","2021-04-21T14:41:43.000Z","457","2021-04-21T14:49:20.000Z","gpu014.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:49:20.000Z","","0.008","32","4","8","0.5812470856313339","0.805779559135437","0.00513305753916502","1.0563250286102297","0.8193632168769837","0.8028010129928589","0.005552977789193392","1.0592657327651978","0.8168281316757202","512"
"leafy-brook-156","2021-04-21T14:41:42.000Z","435","2021-04-21T14:48:57.000Z","gpu013.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:48:57.000Z","","0.008","32","4","4","0.3649140590709459","1.011756592178345","0.007324486845731735","1.2402171417236327","1.0290028232574462","0.9962762594223022","0.008150209672749043","1.2403478622436523","1.0143492221832275","256"
"still-elevator-154","2021-04-21T14:41:39.000Z","394","2021-04-21T14:48:13.000Z","gpu020.cluster","-","A100-PCIE-40GB","2021-04-21T14:48:13.000Z","","0.01","8","4","8","0.5180395246875804","0.7181552875518799","0.005616525408625603","0.7536186376571655","0.7313079986572265","0.7248443365097046","0.006177092902362347","0.7589995265007019","0.7386114001274109","512"
"crimson-snowball-154","2021-04-21T14:41:39.000Z","395","2021-04-21T14:48:14.000Z","gpu020.cluster","-","A100-PCIE-40GB","2021-04-21T14:48:14.000Z","","0.01","8","4","4","0.1762507089668362","0.4886707466125488","0.01308480390906334","0.7356877067565918","0.5091124274730683","0.5368887782096863","0.013595368713140488","0.7441006898880005","0.5579251646995544","256"
"pretty-dream-153","2021-04-21T14:40:40.000Z","535","2021-04-21T14:49:35.000Z","gpu019.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:49:35.000Z","","0.008","16","4","32","1.420623646289796","0.4923505792617798","0.003366124316677451","0.6619566177368164","0.5010123589515686","0.5016547441482544","0.004585105460137129","0.672415554523468","0.5116191506385803","2048"
"clear-waterfall-152","2021-04-21T14:39:30.000Z","569","2021-04-21T14:48:59.000Z","gpu010.cluster","-","TITAN Xp","2021-04-21T14:48:59.000Z","","0.008","16","4","8","0.51809188535598","0.7182278158187866","0.005198408622294664","0.9572484413146972","0.7310842141151428","0.7208647131919861","0.005372584797441959","0.9566999673843384","0.7338908910751343","512"
"comic-brook-151","2021-04-21T14:39:30.000Z","748","2021-04-21T14:51:58.000Z","gpu006.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T14:51:58.000Z","","0.008","8","4","16","0.7876505980842177","0.545957798576355","0.003726803296804428","0.6488684297561645","0.5548755498886109","0.5432800054550171","0.00380686204880476","0.6504952907562256","0.5522908568382263","1024"
"ruby-galaxy-149","2021-04-21T14:39:29.000Z","714","2021-04-21T14:51:23.000Z","gpu006.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T14:51:23.000Z","","0.008","8","4","8","0.5840732987531209","0.8096974395751954","0.005086015817523003","0.8394069705963135","0.8214987092971802","0.8136186599731445","0.00527895474806428","0.8446102142333984","0.8256545066833496","512"
"eager-gorge-149","2021-04-21T14:39:29.000Z","692","2021-04-21T14:51:01.000Z","gpu004.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T14:51:01.000Z","","0.008","8","4","4","0.18551907285255792","0.5143680815696716","0.01251640704870224","0.7780264024734497","0.5331086982727051","0.6019062399864197","0.012858113273978232","0.7829065322875977","0.6210275888442993","256"
"proud-wind-146","2021-04-21T14:39:29.000Z","728","2021-04-21T14:51:37.000Z","gpu007.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T14:51:37.000Z","","0.008","16","4","16","0.8504605454581355","0.5894943448066712","0.003721534584090114","0.7273024832725525","0.5990342978477478","0.5891126394271851","0.0039967820048332214","0.7295093536376953","0.5989454984664917","1024"
"copper-music-148","2021-04-21T14:39:29.000Z","790","2021-04-21T14:52:39.000Z","gpu005.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T14:52:39.000Z","","0.008","8","4","32","1.348047653079744","0.4671977987766266","0.003321900846809149","0.5429239593505859","0.4748630912303925","0.4725585877895355","0.003364693373441696","0.549700915813446","0.48032090067863464","2048"
"dashing-salad-147","2021-04-21T14:39:29.000Z","703","2021-04-21T14:51:12.000Z","gpu005.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T14:51:12.000Z","","0.008","16","4","4","0.3444541910286079","0.9550297890663147","0.007251369699090719","1.141901820755005","0.9714163753509522","0.919962763786316","0.008483164012432098","1.135298728942871","0.9375283122062684","256"
"polished-planet-145","2021-04-21T14:38:01.000Z","520","2021-04-21T14:46:41.000Z","gpu019.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:46:41.000Z","","0.006","128","4","16","1.588911228435382","1.1013493473052978","0.00327100539021194","2.000710870361328","1.1166246166229248","1.1050584316253662","0.0034936126321554184","2.011647939682007","1.120621919631958","1024"
"smart-rain-144","2021-04-21T14:37:58.000Z","533","2021-04-21T14:46:51.000Z","gpu017.cluster","-","GeForce RTX 3090","2021-04-21T14:46:51.000Z","","0.006","32","4","32","1.6822970227874827","0.5830392597198486","0.0025603420089930296","0.9811169570922852","0.5914863010406494","0.5734887719154358","0.003507796674966812","0.9657657742500304","0.5827911496162415","2048"
"solar-totem-142","2021-04-21T14:37:52.000Z","495","2021-04-21T14:46:07.000Z","gpu019.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:46:07.000Z","","0.006","128","4","8","1.1311955548114834","1.5681699138641358","0.0036722948666661976","2.746877732849121","1.5883234716415404","1.5627025365829468","0.003736605402082205","2.7351207733154297","1.5828498601913452","512"
"golden-mountain-142","2021-04-21T14:37:52.000Z","601","2021-04-21T14:47:53.000Z","gpu019.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:47:53.000Z","","0.006","128","4","32","7.485418284163066","2.594248624038696","0.001033998379483819","3.1269502178192137","2.614044334411621","2.5774948596954346","0.001181156956590712","3.102984666824341","2.5972938537597656","2048"
"pretty-puddle-139","2021-04-21T14:37:06.000Z","753","2021-04-21T14:49:39.000Z","gpu004.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T14:49:39.000Z","","0.006","32","4","16","0.9401019900835464","0.6516291675567627","0.003550081342086196","0.8917477460861206","0.6605297381401062","0.6489604711532593","0.003961911890655756","0.8911396265029907","0.6582692265510559","1024"
"revived-butterfly-140","2021-04-21T14:37:06.000Z","735","2021-04-21T14:49:21.000Z","gpu006.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T14:49:21.000Z","","0.006","64","4","8","0.6439927791862003","0.8927636076927185","0.004798753510415554","1.1552783184051514","0.9044940351486206","0.8696081042289734","0.005292932037264109","1.138833999633789","0.8817340135574341","512"
